City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Lazaro Cardenas,MX,74.66,clear sky,17.9583,-102.2,Hotel Quinta Antigua
569,Kabanjahe,ID,84.2,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
570,San-Pedro,CI,79.27,overcast clouds,4.7485,-6.6363,Hotel Maria
571,Jutai,BR,72.59,light rain,-5.1833,-68.9,
572,Angoche,MZ,73.94,broken clouds,-16.2325,39.9086,Guest House HESADA
575,Sambava,MG,73.56,broken clouds,-14.2667,50.1667,Melrose
578,Birin,NP,77.27,scattered clouds,26.8865,88.0718,Sangam hotel and lodge
580,Santa Luzia,BR,66.2,clear sky,-19.7697,-43.8514,Pousada Chao Earth
581,Sechura,PE,72.23,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
582,Ariquemes,BR,72.39,moderate rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
584,Katsina,NG,77.97,scattered clouds,12.9894,7.6006,Katsina Motel
585,Montepuez,MZ,66.04,overcast clouds,-13.1256,38.9997,Complexo Messalo
586,Sabzevar,IR,65.7,overcast clouds,36.2126,57.6819,پزشکی قانونی سبزوار
588,Alto Araguaia,BR,68.25,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
589,Vila Do Maio,CV,71.6,clear sky,15.1333,-23.2167,Residence 'I Delfini'
590,Matara,LK,82.58,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
591,Dong Hoi,VN,83.19,broken clouds,17.4833,106.6,Nam Long Hotel
592,Dwarka,IN,81.27,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
593,Natitingou,BJ,77.79,few clouds,10.3042,1.3796,Auberge Centrale
594,Kantilo,IN,82.4,haze,20.35,85.1833,Hostel Building at Kantilo Nilamadhaba Mahavidyalaya
595,Miri,MY,84.2,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
599,Tarakan,ID,80.6,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
600,Aswan,EG,70.97,clear sky,24.0934,32.907,Nuba Nile
603,Kattivakkam,IN,75.2,moderate rain,13.2167,80.3167,Raj's villa
604,Alamogordo,US,73.99,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
605,Yekepa,LR,69.62,overcast clouds,7.5753,-8.5419,Alvino Hotel
607,Maradi,NE,78.1,few clouds,13.5,7.1017,Hôtel Le National
608,Mount Pleasant,US,71.01,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
610,Santa Cruz,BO,73.74,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
612,Rio Verde De Mato Grosso,BR,76.3,scattered clouds,-18.9181,-54.8442,Hotel Valência
613,Sinnamary,GF,78.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
615,Nagua,DO,70.02,clear sky,19.3832,-69.8474,Hotel Cambri
616,Falam,MM,83.48,few clouds,22.9167,93.6833,Falang Government Guesthouse
620,Presidencia Roque Saenz Pena,AR,75.0,overcast clouds,-26.7852,-60.4388,Hotel Gualok
621,Lodwar,KE,82.06,few clouds,3.1191,35.5973,Turkwel Lodge
622,Garachine,PA,79.57,overcast clouds,8.0647,-78.3628,
624,Itupiranga,BR,73.51,overcast clouds,-5.1347,-49.3267,Hotel Panorama
625,Ciudad Guayana,VE,82.0,broken clouds,8.3533,-62.6528,Hotel Las Americas
626,Meoqui,MX,84.2,overcast clouds,28.2833,-105.4833,Hotel Paraíso Dorado
627,Ajnala,IN,75.2,heavy intensity rain,31.8425,74.7589,Gurlal Randhawa
632,Summerville,US,72.0,few clouds,33.0185,-80.1757,Sleep Inn Summerville-Charleston
634,Along,IN,78.58,overcast clouds,28.1667,94.7667,Hotel West
636,Guarapari,BR,73.4,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
638,Waingapu,ID,84.13,few clouds,-9.6567,120.2641,Pondok Wisata Elim
639,Inirida,CO,72.0,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
642,Puerto Colombia,CO,80.6,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
647,Khipro,PK,80.42,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
648,Altagracia De Orituco,VE,75.2,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
650,Bilma,NE,81.39,clear sky,18.6853,12.9164,Expeditions Ténére voyages
651,Pisco,PE,66.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
652,Wani,IN,89.69,scattered clouds,20.0667,78.95,Ashok Hotel
655,Nhulunbuy,AU,87.8,few clouds,-12.2333,136.7667,East Arnhem Real Estate
659,Waw,SS,78.15,clear sky,7.7029,27.9953,Universal Gab Hotel
660,Kudahuvadhoo,MV,82.63,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
661,Kinablangan,PH,83.7,overcast clouds,7.6947,126.5503,Danny Moreno Property
662,Nacala,MZ,70.66,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
663,Nouakchott,MR,73.4,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
664,Ende,ID,85.55,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
666,Honiara,SB,83.59,broken clouds,-9.4333,159.95,Heritage Park Hotel
