City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Taoudenni,ML,22.6783,-3.9836,82.33,13,0,12.71,clear sky
72,Verkhnyaya Inta,RU,65.9811,60.3094,30.36,84,100,22.03,overcast clouds
73,Punta Arenas,CL,-53.15,-70.9167,39.2,87,0,10.36,clear sky
74,Longyearbyen,SJ,78.2186,15.6401,6.8,61,40,13.8,scattered clouds
75,Fairbanks,US,64.8378,-147.7164,46.4,56,90,6.91,haze
76,Penzance,GB,50.1186,-5.5371,46.0,93,8,6.91,clear sky
77,Meiktila,MM,20.8667,95.8667,89.51,39,100,10.83,overcast clouds
78,Rawson,AR,-43.3002,-65.1023,66.92,47,77,7.07,broken clouds
79,Havoysund,NO,70.9963,24.6622,28.4,69,90,3.44,overcast clouds
80,Makakilo City,US,21.3469,-158.0858,80.6,47,40,11.5,scattered clouds
81,Te Anau,NZ,-45.4167,167.7167,55.44,80,90,6.58,overcast clouds
82,Nikolskoye,RU,59.7035,30.7861,35.6,64,0,4.47,clear sky
83,Pilar,BR,-9.5972,-35.9567,75.2,94,75,5.75,moderate rain
84,Dunedin,NZ,-45.8742,170.5036,61.0,72,20,5.99,few clouds
85,Lufilufi,WS,-13.8745,-171.5986,91.4,62,75,9.19,broken clouds
86,Najran,SA,17.4924,44.1277,77.0,36,0,11.5,clear sky
87,Vaini,TO,-21.2,-175.2,82.4,69,20,8.05,few clouds
88,Portel,BR,-1.9356,-50.8211,74.48,96,96,2.53,overcast clouds
89,Gizo,SB,-8.103,156.8419,83.61,73,40,7.63,light rain
90,Nianzishan,CN,47.5167,122.8833,46.99,36,100,11.68,overcast clouds
91,Cabedelo,BR,-6.9811,-34.8339,77.0,100,20,4.61,few clouds
92,Tautira,PF,-17.7333,-149.15,82.4,74,75,8.05,broken clouds
93,Norman Wells,CA,65.282,-126.8329,50.0,37,75,10.36,broken clouds
94,San Patricio,US,28.017,-97.5169,75.99,94,75,9.22,broken clouds
95,Charters Towers,AU,-20.1,146.2667,83.98,23,6,8.28,clear sky
96,Jagdalpur,IN,19.0667,82.0333,82.35,34,83,5.48,broken clouds
97,Illela,NG,13.7292,5.2975,81.61,6,78,10.22,broken clouds
98,Kavieng,PG,-2.5744,150.7967,84.07,69,86,7.36,overcast clouds
99,Libenge,CD,3.65,18.6333,71.42,81,84,2.89,light rain
100,Lakatoro,VU,-16.0999,167.4164,85.33,67,13,8.88,few clouds
